,Instrument,Country of Headquarters,Region of Headquarters,NAICS National Industry Name,NAICS Industry Group Name,NAICS Sector Name,GICS Sub-Industry Name,GICS Industry Name,ICB Industry name,ICB Sector name,GICS Industry Group Name,SIC Industry Name,TRBC Industry Name,TRBC Industry Group Name,TRBC Business Sector Name,TRBC Economic Sector Name,TSE33 Main sector name,NAICS Subsector Name,key
0,QA0006929796,Qatar,Asia,Motion Picture Theaters (except Drive-Ins),Motion Picture and Video Industries,Information,Movies & Entertainment,Entertainment,Consumer Discretionary,Media,Media & Entertainment,,Leisure & Recreation,Hotels & Entertainment Services,Cyclical Consumer Services,Consumer Cyclicals,,Motion Picture and Sound Recording Industries,QA0006929796
0,QA0006929812,Qatar,Asia,Other Electric Power Generation,"Electric Power Generation, Transmission and Distribution",Utilities,Multi-Utilities,Multi-Utilities,Utilities,"Gas, Water and Multi-utilities",Utilities,,Multiline Utilities,Multiline Utilities,Utilities,Utilities,,Utilities,QA0006929812
0,QA000PLE37B1,Qatar,Asia,Savings Institutions and Other Depository Credit Intermediation,Depository Credit Intermediation,Finance and Insurance,Regional Banks,Banks,Financials,Banks,Banks,,Banks,Banking Services,Banking & Investment Services,Financials,,Credit Intermediation and Related Activities,QA000PLE37B1
0,QA0001200771,Qatar,Asia,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Petroleum and Petroleum Products Merchant Wholesalers,Wholesale Trade,Oil & Gas Refining & Marketing,"Oil, Gas & Consumable Fuels",Energy,"Oil, Gas and Coal",Energy,,Oil & Gas Refining and Marketing,Oil & Gas,Energy - Fossil Fuels,Energy,,"Merchant Wholesalers, Nondurable Goods",QA0001200771
0,QA000A0KD6L1,Qatar,Asia,Deep Sea Freight Transportation,"Deep Sea, Coastal, and Great Lakes Water Transportation",Transportation and Warehousing,Oil & Gas Storage & Transportation,"Oil, Gas & Consumable Fuels",Industrials,Industrial Transportation,Energy,,Oil & Gas Transportation Services,Oil & Gas Related Equipment and Services,Energy - Fossil Fuels,Energy,,Water Transportation,QA000A0KD6L1
0,QA0006929846,Qatar,Asia,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers","Coating, Engraving, Heat Treating, and Allied Activities",Manufacturing,Industrial Conglomerates,Industrial Conglomerates,Industrials,General Industrials,Capital Goods,,Consumer Goods Conglomerates,Consumer Goods Conglomerates,Consumer Goods Conglomerates,Consumer Non-Cyclicals,,Fabricated Metal Product Manufacturing,QA0006929846
0,QA0006929838,Qatar,Asia,Direct Property and Casualty Insurance Carriers,Insurance Carriers,Finance and Insurance,Property & Casualty Insurance,Insurance,Financials,Non-life Insurance,Insurance,,Property & Casualty Insurance,Insurance,Insurance,Financials,,Insurance Carriers and Related Activities,QA0006929838
0,QA0006929879,Qatar,Asia,Commercial Banking,Depository Credit Intermediation,Finance and Insurance,Diversified Banks,Banks,Financials,Banks,Banks,,Banks,Banking Services,Banking & Investment Services,Financials,,Credit Intermediation and Related Activities,QA0006929879
0,QA0006929853,Qatar,Asia,Commercial Banking,Depository Credit Intermediation,Finance and Insurance,Diversified Banks,Banks,Financials,Banks,Banks,,Banks,Banking Services,Banking & Investment Services,Financials,,Credit Intermediation and Related Activities,QA0006929853
0,QA0006929861,Qatar,Asia,Direct Property and Casualty Insurance Carriers,Insurance Carriers,Finance and Insurance,Multi-line Insurance,Insurance,Financials,Non-life Insurance,Insurance,,Multiline Insurance & Brokers,Insurance,Insurance,Financials,,Insurance Carriers and Related Activities,QA0006929861
